"","run","condition","emo","cert","rt","trial","sub","acc","shock","control"
"3747",1,"Uncontrollable Unpleasant",2,3,0,3,59,0,"Unpleasant","Uncontrollable"
"3748",1,"Controllable Perceptible",2,2,0,4,59,0,"Mild","Controllable"
"3749",1,"Controllable Unpleasant",3,3,0,5,59,0,"Unpleasant","Controllable"
"3750",1,"Uncontrollable Unpleasant",0,1,0,6,59,0,"Unpleasant","Uncontrollable"
"3751",1,"Uncontrollable Perceptible",1,4,0,7,59,0,"Mild","Uncontrollable"
"3752",1,"Controllable Perceptible",2,2,0,8,59,0,"Mild","Controllable"
"3753",1,"Uncontrollable Perceptible",2,3,0.8374248,9,59,1,"Mild","Uncontrollable"
"3754",1,"Controllable Perceptible",3,4,0,10,59,0,"Mild","Controllable"
"3755",1,"Controllable Unpleasant",3,4,0,11,59,0,"Unpleasant","Controllable"
"3756",1,"Uncontrollable Unpleasant",2,4,0,12,59,0,"Unpleasant","Uncontrollable"
"3757",2,"Uncontrollable Unpleasant",3,4,0,13,59,0,"Unpleasant","Uncontrollable"
"3758",2,"Controllable Unpleasant",4,3,0.8579514,14,59,1,"Unpleasant","Controllable"
"3759",2,"Controllable Perceptible",2,3,0.9388525,15,59,1,"Mild","Controllable"
"3760",2,"Uncontrollable Perceptible",2,4,0.8795343,16,59,1,"Mild","Uncontrollable"
"3761",2,"Uncontrollable Perceptible",1,4,0,17,59,0,"Mild","Uncontrollable"
"3762",2,"Controllable Perceptible",2,4,0,18,59,0,"Mild","Controllable"
"3763",2,"Uncontrollable Unpleasant",3,3,0,19,59,0,"Unpleasant","Uncontrollable"
"3764",2,"Controllable Unpleasant",4,3,0,20,59,0,"Unpleasant","Controllable"
"3765",2,"Controllable Perceptible",2,4,0.8581905,21,59,1,"Mild","Controllable"
"3766",2,"Uncontrollable Unpleasant",3,4,0.7573738,22,59,1,"Unpleasant","Uncontrollable"
"3767",2,"Uncontrollable Perceptible",1,3,0.7974874,23,59,1,"Mild","Uncontrollable"
"3768",2,"Controllable Unpleasant",3,4,0.8973694,24,59,1,"Unpleasant","Controllable"
"3769",3,"Controllable Perceptible",2,4,0.817684,25,59,1,"Mild","Controllable"
"3770",3,"Uncontrollable Perceptible",2,3,0,26,59,0,"Mild","Uncontrollable"
"3771",3,"Controllable Unpleasant",3,4,0.7984549,27,59,1,"Unpleasant","Controllable"
"3772",3,"Uncontrollable Unpleasant",4,4,0.7978445,28,59,1,"Unpleasant","Uncontrollable"
"3773",3,"Controllable Unpleasant",3,4,0,29,59,0,"Unpleasant","Controllable"
"3774",3,"Controllable Perceptible",2,4,0,30,59,0,"Mild","Controllable"
"3775",3,"Uncontrollable Perceptible",2,3,0.8577455,31,59,1,"Mild","Uncontrollable"
"3776",3,"Uncontrollable Unpleasant",3,4,0.8579314,32,59,1,"Unpleasant","Uncontrollable"
