"","run","condition","emo","cert","rt","trial","sub","acc","shock","control"
"3974",6,"Controllable Unpleasant",3,3,0,62,61,0,"Unpleasant","Controllable"
"3975",6,"Uncontrollable Unpleasant",2,4,0.8769621,63,61,1,"Unpleasant","Uncontrollable"
"3976",6,"Uncontrollable Perceptible",1,4,0.8375574,64,61,1,"Mild","Uncontrollable"
"3977",6,"Controllable Perceptible",1,4,0.8575523,65,61,1,"Mild","Controllable"
"3978",6,"Controllable Unpleasant",3,4,0.8578664,66,61,1,"Unpleasant","Controllable"
"3979",6,"Uncontrollable Perceptible",1,4,0,67,61,0,"Mild","Uncontrollable"
"3980",6,"Uncontrollable Unpleasant",2,4,0.8577187,68,61,1,"Unpleasant","Uncontrollable"
"3981",6,"Controllable Perceptible",1,4,0.8775499,69,61,1,"Mild","Controllable"
"3982",6,"Uncontrollable Unpleasant",2,3,0,70,61,0,"Unpleasant","Uncontrollable"
"3983",6,"Uncontrollable Perceptible",1,4,0.8773242,71,61,1,"Mild","Uncontrollable"
"3984",6,"Controllable Unpleasant",3,3,0,72,61,0,"Unpleasant","Controllable"
